frequency_Hz,amplitude,ell_ln_f,log1p_amplitude,trend,y_detrended
396.0,4.908921012552239,5.981414211254481,1.776463244961999,1.2440338555705839,0.850965660901335
398.0,2.9638699776655404,5.986452005284438,1.3772208151390524,1.2430708658260972,0.2144077741603724
400.0,1.542319374967887,5.991464547107982,0.9330768041231049,1.2421094892818245,-0.49391751921657584
402.0,1.1984784373806128,5.996452088619021,0.7877655017128102,1.2411497258351292,-0.7246301830999357
404.0,0.7034138925770489,6.0014148779611505,0.5326344094841464,1.2401915752265897,-1.130867046726557
406.0,1.9711946853016786,6.0063531596017325,1.0889641228767126,1.2392350370454437,-0.2401734208098616
408.0,3.3088753119903074,6.0112671744041615,1.4606769215685458,1.2382801107348373,0.35545004254888596
410.0,3.3005842391640954,6.016157159698354,1.4587508830431277,1.2373267955969132,0.3538953684140508
412.0,1.765094620301618,6.021023349349527,1.017074855112695,1.2363750907977278,-0.3505008808939755
414.0,2.229626113223565,6.025865973825314,1.1723663761145562,1.2354249953720053,-0.10078466869245684
416.0,3.86969500715748,6.030685260261263,1.583031308266307,1.2344765082277407,0.5570845105191966
418.0,2.1468631874464874,6.035481432524756,1.1464061431768073,1.2335296281506485,-0.13924680990193977
420.0,2.0708416605518227,6.040254711277414,1.1219516805566094,1.2325843538084695,-0.1768208288025968
422.0,2.6306507005384416,6.045005314036012,1.2894118885589383,1.2316406837551381,0.0923339553684766
424.0,4.002177281503695,6.049733455231958,1.6098732739512596,1.2306986164348117,0.6060232952191801
426.0,3.425852792885179,6.054439346269371,1.487462981447452,1.2297581501857755,0.4118817751640731
428.0,2.2273435876836496,6.059123195581797,1.171659380189,1.2288192832442142,-0.09135693042045438
430.0,0.9037291208292583,6.063785208687608,0.6438146577760263,1.2278820137478694,-0.9334970486012932
432.0,1.316136892508531,6.068425588244111,0.8399006652647285,1.2269463397395755,-0.6186033016602703
434.0,0.6728980830310975,6.073044534100405,0.5145575014587499,1.2260122591706846,-1.1370964491455953
436.0,3.208298664815409,6.077642243349034,1.4370584483957156,1.225079769904381,0.33879905924343917
438.0,3.9282862816115913,6.082218910376446,1.5949913174033887,1.224148869718888,0.592706178268675
440.0,2.906120676858242,6.0867747269123065,1.362544727230245,1.2232195563105777,0.2226791730775141
442.0,3.822826800024854,6.091309882077698,1.5733602291886108,1.2222918272969785,0.5611019237288283
444.0,2.511231538188574,6.095824562432225,1.255966841519631,1.2213656802196862,0.05530198122086612
446.0,2.1484805267759,6.100318952020064,1.1469199640064283,1.220441112547186,-0.117506610275071
448.0,1.802345309212475,6.104793232414985,1.03045667701433,1.2195181216775852,-0.30217114309321835
450.0,0.6639720480958823,6.1092475827643655,0.5092075442386271,1.218596704941256,-1.133795068419432
452.0,0.5632331246559054,6.113682179832232,0.44675619236840136,1.2176768596034013,-1.2321389994004484
454.0,0.7277891858815339,6.118097198041348,0.546842664028242,1.2167585828665315,-1.070706189367506
456.0,0.5633091011000954,6.1224928095143865,0.4468047933075341,1.2158418718728727,-1.2291285170546544
458.0,1.1775770063201818,6.126869184114185,0.7782127936749763,1.2149267237066923,-0.6979865602818105
460.0,1.2813732400453903,6.131226489483141,0.8247775599230688,1.2140131353965558,-0.6221033536629336
462.0,2.2296818220079584,6.135564891081739,1.1723836252641413,1.2131011039175128,-0.0650775047788167
464.0,1.040875737055851,6.139884552226255,0.7133789986111102,1.2121906261932103,-0.797235417105464
466.0,2.1673085362972473,6.144185634125646,1.152882185071208,1.2112816990979478,-0.09333816284425157
468.0,0.9308786909710685,6.148468295917647,0.6579751796040568,1.2103743194586614,-0.8828827042493119
470.0,1.9007227670585602,6.152732694704104,1.0649599359599795,1.2094684840568497,-0.23096360679433275
472.0,2.9904107990984192,6.156978985585555,1.3838941827695703,1.2085641896304415,0.28022458275266454
474.0,2.946162291369708,6.161207321695077,1.3727435348260784,1.2076614328755986,0.2638456906930778
476.0,1.3776655983481576,6.16541785423142,0.8661191653138636,1.2067602104484711,-0.5444361973226692
478.0,9.808428316341754,6.169610732491456,2.3803262294379666,1.2058605189668934,1.8771127391358977
480.0,17.840661429564747,6.173786103901937,2.936017376258322,1.2049623550120294,2.7666924658219805
482.0,9.056512824958373,6.1779441140506,2.3082204669007718,1.204065715129964,1.764736877413899
484.0,1.6296479354305793,6.182084906716632,0.9668499723736806,1.203170595833251,-0.377704047773835
486.0,2.2680053205291317,6.186208623900494,1.184179805065321,1.2022769936024078,-0.028924184710241118
488.0,2.002638836459242,6.1903154058531475,1.099491514189128,1.201384904887365,-0.16285309993145422
490.0,2.7381717502464524,6.194405391104672,1.3185966550742647,1.2004943261088763,0.18875935180230136
492.0,2.240102839889881,6.198478716492308,1.1756050700072658,1.1996052536598762,-0.038358761838901585
494.0,3.449387679938017,6.202535517187923,1.4927664866964696,1.1987176839068043,0.4699692368394051
496.0,4.031172334775544,6.206575926724928,1.6156530254992398,1.1978316131908822,0.667791225180335
498.0,1.7107927613665217,6.210600077024653,0.99724112398207,1.1969470378293563,-0.3191838736723597
500.0,2.085706435568031,6.214608098422191,1.1267806216026912,1.1960639541166977,-0.11073343811771776
502.0,3.093607650625956,6.218600119691729,1.4094266474306736,1.1951823583257686,0.34242011561548824
504.0,2.481612065040926,6.222576268071369,1.247495423605936,1.1943022467089532,0.08501703293524528
506.0,0.6430783294669767,6.226536669287466,0.49657151257909377,1.1934236154992481,-1.1137574711827052
